2022;;;
name_;code_;male_;female_
Deutschkreutz;<10801>;1524;1636
Draßmarkt;<10802>;658;701
Frankenau-Unterpullendorf;<10803>;515;542
Großwarasdorf;<10804>;674;677
Horitschon;<10805>;907;920
Kaisersdorf;<10806>;291;315
Kobersdorf;<10807>;949;947
Lackenbach;<10808>;560;594
Lackendorf;<10824>;301;295
Lockenhaus;<10809>;992;1025
Lutzmannsburg;<10810>;398;430
Mannersdorf an der Rabnitz;<10811>;899;878
Markt Sankt Martin;<10812>;622;651
Neckenmarkt;<10813>;829;829
Neutal;<10814>;549;579
Nikitsch;<10815>;694;719
Oberloisdorf;<10828>;392;405
Oberpullendorf;<10816>;1552;1707
Pilgersdorf;<10817>;810;796
Piringsdorf;<10818>;418;425
Raiding;<10819>;400;495
Ritzing;<10820>;463;445
Steinberg-Dörfl;<10821>;646;640
Stoob;<10822>;689;670
Unterfrauenhaid;<10825>;334;319
Unterrabnitz-Schwendgraben;<10826>;321;313
Weingraben;<10827>;166;189
Weppersdorf;<10823>;897;932
Eisenstadt;<10101>;7408;7832
Rust;<10201>;946;1038
Breitenbrunn;<10301>;927;963
Donnerskirchen;<10302>;915;931
Großhöflein;<10303>;1036;1086
Hornstein;<10304>;1533;1684
Klingenbach;<10305>;643;612
Leithaprodersdorf;<10306>;608;604
Loretto;<10320>;250;251
Mörbisch am See;<10307>;1086;1106
Müllendorf;<10308>;700;700
Neufeld an der Leitha;<10309>;1750;1890
Oggau am Neusiedler See;<10310>;877;864
Oslip;<10311>;649;642
Purbach am Neusiedler See;<10312>;1443;1482
Sankt Margarethen im Burgenland;<10313>;1349;1342
Schützen am Gebirge;<10314>;722;714
Siegendorf;<10315>;1541;1662
Steinbrunn;<10316>;1488;1504
Stotzing;<10321>;424;401
Trausdorf an der Wulka;<10317>;1032;1051
Wimpassing an der Leitha;<10318>;854;863
Wulkaprodersdorf;<10319>;979;995
Zagersdorf;<10323>;526;588
Zillingtal;<10322>;481;509
Antau;<10616>;388;395
Bad Sauerbrunn;<10611>;1069;1183
Baumgarten;<10617>;444;468
Draßburg;<10601>;614;630
Forchtenstein;<10602>;1397;1405
Hirm;<10603>;493;544
Krensdorf;<10619>;310;331
Loipersbach im Burgenland;<10604>;604;590
Marz;<10605>;1043;1068
Mattersburg;<10606>;3641;3917
Neudörfl;<10607>;2369;2484
Pöttelsdorf;<10608>;367;404
Pöttsching;<10609>;1475;1510
Rohrbach bei Mattersburg;<10610>;1269;1345
Schattendorf;<10612>;1168;1229
Sieggraben;<10613>;656;613
Sigleß;<10614>;563;594
Wiesen;<10615>;1381;1377
Zemendorf-Stöttera;<10618>;634;621
Andau;<10701>;1094;1160
Apetlon;<10702>;856;878
Bruckneudorf;<10703>;1450;1592
Deutsch Jahrndorf;<10704>;322;334
Edelstal;<10727>;398;401
Frauenkirchen;<10705>;1365;1510
Gattendorf;<10706>;709;733
Gols;<10707>;1928;2032
Halbturn;<10708>;931;995
Illmitz;<10709>;1176;1196
Jois;<10710>;803;823
Kittsee;<10711>;1698;1808
Mönchhof;<10712>;1086;1108
Neudorf;<10725>;356;379
Neusiedl am See;<10713>;4210;4447
Nickelsdorf;<10714>;912;918
Pama;<10715>;607;643
Pamhagen;<10716>;769;778
Parndorf;<10717>;2552;2657
Podersdorf am See;<10718>;1051;1086
Potzneusiedl;<10726>;321;315
Sankt Andrä am Zicksee;<10719>;677;704
Tadten;<10720>;564;598
Wallern im Burgenland;<10721>;814;850
Weiden am See;<10722>;1262;1293
Winden am See;<10723>;683;707
Zurndorf;<10724>;1141;1126
Bildein;<10426>;169;172
Bocksdorf;<10401>;384;420
Burgauberg-Neudauberg;<10402>;639;688
Eberau;<10403>;463;458
Gerersdorf-Sulz;<10404>;516;508
Großmürbisch;<10420>;114;119
Güssing;<10405>;1717;1861
Güttenbach;<10406>;422;449
Hackerberg;<10418>;192;171
Heiligenbrunn;<10407>;361;382
Heugraben;<10424>;118;106
Inzenhof;<10421>;162;168
Kleinmürbisch;<10422>;114;117
Kukmirn;<10408>;999;1013
Moschendorf;<10428>;188;199
Neuberg im Burgenland;<10409>;454;503
Neustift bei Güssing;<10410>;229;218
Olbendorf;<10411>;699;759
Ollersdorf im Burgenland;<10412>;464;457
Rauchwart;<10427>;218;236
Rohr im Burgenland;<10425>;173;194
Sankt Michael im Burgenland;<10413>;490;496
Stegersbach;<10414>;1321;1380
Stinatz;<10415>;617;588
Strem;<10416>;421;465
Tobaj;<10417>;690;661
Tschanigraben;<10423>;31;34
Wörterberg;<10419>;237;244
Deutsch Kaltenbrunn;<10501>;856;896
Eltendorf;<10502>;478;425
Heiligenkreuz im Lafnitztal;<10503>;618;644
Jennersdorf;<10504>;2035;2119
Königsdorf;<10511>;394;374
Minihof-Liebau;<10505>;532;525
Mogersdorf;<10506>;580;556
Mühlgraben;<10512>;203;182
Neuhaus am Klausenbach;<10507>;438;479
Rudersdorf;<10508>;1050;1115
Sankt Martin an der Raab;<10509>;985;971
Weichselbaum;<10510>;356;347
Bad Tatzmannsdorf;<10901>;776;852
Badersdorf;<10931>;142;137
Bernstein;<10902>;1005;1074
Deutsch Schützen-Eisenberg;<10903>;529;550
Grafenschachen;<10904>;622;621
Großpetersdorf;<10905>;1711;1849
Hannersdorf;<10906>;366;375
Jabing;<10930>;386;366
Kemeten;<10907>;758;754
Kohfidisch;<10908>;761;706
Litzelsdorf;<10909>;585;566
Loipersdorf-Kitzladen;<10910>;667;672
Mariasdorf;<10911>;562;582
Markt Allhau;<10912>;967;943
Markt Neuhodis;<10913>;334;328
Mischendorf;<10914>;755;737
Neustift an der Lafnitz;<10929>;375;417
Oberdorf im Burgenland;<10915>;486;511
Oberschützen;<10916>;1216;1241
Oberwart;<10917>;3612;4111
Pinkafeld;<10918>;2881;3034
Rechnitz;<10919>;1455;1532
Riedlingsdorf;<10920>;825;814
Rotenturm an der Pinka;<10921>;713;734
Schachendorf;<10922>;371;387
Schandorf;<10932>;135;133
Stadtschlaining;<10923>;967;1013
Unterkohlstätten;<10924>;487;485
Unterwart;<10925>;491;476
Weiden bei Rechnitz;<10926>;410;399
Wiesfleck;<10927>;588;566
Wolfau;<10928>;724;726
Waidhofen an der Ybbs;<30301>;5493;5599
Allhartsberg;<30501>;1094;1092
Amstetten;<30502>;11611;12042
Ardagger;<30503>;1837;1758
Aschbach-Markt;<30504>;1901;1880
Behamberg;<30506>;1794;1702
Biberbach;<30507>;1153;1154
Ennsdorf;<30508>;1578;1610
Ernsthofen;<30509>;1129;1157
Ertl;<30510>;643;592
Euratsfeld;<30511>;1363;1338
Ferschnitz;<30512>;940;887
Haag;<30514>;2822;2858
Haidershofen;<30515>;1876;1815
Hollenstein an der Ybbs;<30516>;838;840
Kematen an der Ybbs;<30517>;1300;1391
Neuhofen an der Ybbs;<30520>;1565;1483
Neustadtl an der Donau;<30521>;1061;1092
Oed-Oehling;<30522>;1018;1014
Opponitz;<30524>;451;438
St. Georgen am Reith;<30526>;284;253
St. Georgen am Ybbsfelde;<30527>;1456;1415
St. Pantaleon-Erla;<30529>;1350;1291
St. Peter in der Au;<30530>;2554;2622
St. Valentin;<30531>;4717;4622
Seitenstetten;<30532>;1735;1702
Sonntagberg;<30533>;1852;1853
Strengberg;<30534>;1063;1057
Viehdorf;<30536>;685;667
Wallsee-Sindelburg;<30538>;1049;1119
Weistrach;<30539>;1135;1151
Winklarn;<30541>;931;906
Wolfsbach;<30542>;1104;1021
Ybbsitz;<30543>;1723;1627
Zeillern;<30544>;993;930
Artstetten-Pöbring;<31502>;628;604
Bergland;<31503>;967;935
Bischofstetten;<31504>;593;623
Blindenmarkt;<31505>;1401;1348
Dorfstetten;<31506>;279;289
Dunkelsteinerwald;<31507>;1211;1188
Emmersdorf an der Donau;<31553>;866;879
Erlauf;<31508>;568;549
Golling an der Erlauf;<31509>;745;723
Hofamt Priel;<31511>;841;882
Hürm;<31513>;966;963
Kilb;<31514>;1283;1297
Kirnberg an der Mank;<31515>;569;545
Klein-Pöchlarn;<31516>;524;565
Krummnußbaum;<31517>;783;796
Leiben;<31519>;684;642
Loosdorf;<31520>;1900;1965
Mank;<31521>;1613;1656
Marbach an der Donau;<31522>;835;842
Maria Taferl;<31523>;488;454
Melk;<31524>;2698;2858
Münichreith-Laimbach;<31525>;828;837
Neumarkt an der Ybbs;<31527>;1000;1060
Nöchling;<31528>;535;488
Persenbeug-Gottsdorf;<31530>;1052;1098
Petzenkirchen;<31531>;730;736
Pöchlarn;<31533>;1919;2039
Pöggstall;<31534>;1205;1196
Raxendorf;<31535>;521;503
Ruprechtshofen;<31537>;1154;1149
St. Leonhard am Forst;<31539>;1551;1497
St. Martin-Karlsbach;<31540>;806;817
St. Oswald;<31541>;590;522
Schollach;<31543>;519;516
Schönbühel-Aggsbach;<31542>;454;479
Texingtal;<31551>;859;819
Weiten;<31546>;557;573
Ybbs an der Donau;<31549>;2823;2795
Yspertal;<31552>;1013;1011
Zelking-Matzleinsdorf;<31550>;571;638
Gaming;<32001>;1435;1462
Göstling an der Ybbs;<32002>;1004;984
Gresten;<32003>;998;986
Gresten-Land;<32004>;762;737
