2024;;;
name_;code_;male_;female_
Aschbach-Markt;<30504>;1870;1933
Behamberg;<30506>;1781;1684
Biberbach;<30507>;1188;1154
Ennsdorf;<30508>;1646;1653
Ernsthofen;<30509>;1134;1166
Ertl;<30510>;660;602
Euratsfeld;<30511>;1403;1377
Ferschnitz;<30512>;961;917
Haag;<30514>;2866;2924
Haidershofen;<30515>;1892;1818
Hollenstein an der Ybbs;<30516>;846;851
Kematen an der Ybbs;<30517>;1312;1424
Neuhofen an der Ybbs;<30520>;1580;1489
Neustadtl an der Donau;<30521>;1068;1095
Oed-Oehling;<30522>;1079;1079
Opponitz;<30524>;452;428
St. Georgen am Reith;<30526>;285;247
St. Georgen am Ybbsfelde;<30527>;1438;1400
St. Pantaleon-Erla;<30529>;1372;1346
St. Peter in der Au;<30530>;2542;2589
St. Valentin;<30531>;4725;4602
Seitenstetten;<30532>;1704;1675
Sonntagberg;<30533>;1814;1860
Strengberg;<30534>;1094;1074
Viehdorf;<30536>;696;673
Wallsee-Sindelburg;<30538>;1065;1148
Weistrach;<30539>;1194;1234
Winklarn;<30541>;933;921
Wolfsbach;<30542>;1141;1071
Ybbsitz;<30543>;1700;1650
Zeillern;<30544>;1000;939
Artstetten-Pöbring;<31502>;649;620
Bergland;<31503>;958;919
Bischofstetten;<31504>;583;625
Blindenmarkt;<31505>;1393;1375
Dorfstetten;<31506>;275;288
Dunkelsteinerwald;<31507>;1226;1196
Emmersdorf an der Donau;<31553>;893;891
Erlauf;<31508>;583;556
Golling an der Erlauf;<31509>;764;724
Hofamt Priel;<31511>;844;864
Hürm;<31513>;1017;996
Kilb;<31514>;1291;1296
Kirnberg an der Mank;<31515>;567;542
Klein-Pöchlarn;<31516>;506;553
Krummnußbaum;<31517>;837;849
Leiben;<31519>;688;655
Loosdorf;<31520>;1928;1962
Mank;<31521>;1664;1690
Marbach an der Donau;<31522>;855;844
Maria Taferl;<31523>;509;470
Melk;<31524>;2743;2931
Münichreith-Laimbach;<31525>;810;820
Neumarkt an der Ybbs;<31527>;1029;1091
Nöchling;<31528>;541;486
Persenbeug-Gottsdorf;<31530>;1055;1103
Petzenkirchen;<31531>;785;827
Pöchlarn;<31533>;1949;2076
Pöggstall;<31534>;1198;1192
Raxendorf;<31535>;522;503
Ruprechtshofen;<31537>;1177;1165
St. Leonhard am Forst;<31539>;1557;1496
St. Martin-Karlsbach;<31540>;820;801
St. Oswald;<31541>;595;534
Schollach;<31543>;539;532
Schönbühel-Aggsbach;<31542>;452;490
Texingtal;<31551>;867;830
Weiten;<31546>;550;559
Ybbs an der Donau;<31549>;2844;2800
Yspertal;<31552>;1007;999
Zelking-Matzleinsdorf;<31550>;571;629
Gaming;<32001>;1432;1473
Göstling an der Ybbs;<32002>;1026;1007
Gresten;<32003>;987;1010
Gresten-Land;<32004>;773;715
Lunz am See;<32005>;870;902
Oberndorf an der Melk;<32006>;1501;1476
Puchenstuben;<32007>;153;115
Purgstall an der Erlauf;<32008>;2704;2656
Randegg;<32009>;928;911
Reinsberg;<32010>;540;512
St. Anton an der Jeßnitz;<32011>;587;555
St. Georgen an der Leys;<32012>;672;664
Scheibbs;<32013>;2013;2197
Steinakirchen am Forst;<32014>;1156;1148
Wang;<32015>;681;690
Wieselburg;<32016>;2323;2462
Wieselburg-Land;<32017>;1676;1728
Wolfpassing;<32018>;887;869
Wiener Neustadt;<30401>;23711;24806
Altenmarkt an der Triesting;<30602>;1073;1103
Berndorf;<30605>;4415;4529
Enzesfeld-Lindabrunn;<30608>;2074;2253
Furth an der Triesting;<30609>;436;434
Hernstein;<30614>;788;790
Hirtenberg;<30615>;1461;1148
Pottenstein;<30627>;1439;1514
Weissenbach an der Triesting;<30645>;828;868
Annaberg;<31401>;237;260
Eschenau;<31402>;632;660
Hainfeld;<31403>;1896;1923
Hohenberg;<31404>;704;706
Kaumberg;<31405>;547;526
Kleinzell;<31406>;431;438
Lilienfeld;<31407>;1289;1316
Mitterbach am Erlaufsee;<31408>;231;250
Ramsau;<31409>;418;388
Rohrbach an der Gölsen;<31410>;757;762
St. Aegyd am Neuwalde;<31411>;887;892
St. Veit an der Gölsen;<31412>;1902;1938
Traisen;<31413>;1664;1751
Türnitz;<31414>;945;934
Altendorf;<31801>;193;169
Aspangberg-St. Peter;<31803>;931;946
Aspang-Markt;<31802>;874;948
Breitenau;<31804>;766;793
Breitenstein;<31805>;160;123
Buchbach;<31806>;180;178
Bürg-Vöstenhof;<31842>;78;82
Edlitz;<31807>;455;436
Enzenreith;<31808>;967;992
Feistritz am Wechsel;<31809>;521;510
Gloggnitz;<31810>;2778;3050
Grafenbach-St. Valentin;<31811>;1142;1195
Grimmenstein;<31812>;628;668
Grünbach am Schneeberg;<31813>;804;824
Höflein an der Hohen Wand;<31849>;432;462
Kirchberg am Wechsel;<31814>;1226;1310
Mönichkirchen;<31815>;307;329
Natschbach-Loipersbach;<31817>;867;873
Neunkirchen;<31818>;6169;6725
Otterthal;<31820>;263;280
Payerbach;<31821>;1022;1051
Pitten;<31823>;1428;1510
Prigglitz;<31825>;220;212
Puchberg am Schneeberg;<31826>;1339;1390
Raach am Hochgebirge;<31827>;172;154
Reichenau an der Rax;<31829>;1275;1291
St. Corona am Wechsel;<31830>;196;187
St. Egyden am Steinfeld;<31831>;1074;1126
Scheiblingkirchen-Thernberg;<31832>;929;998
Schottwien;<31833>;321;341
Schrattenbach;<31834>;189;204
Schwarzau am Steinfeld;<31835>;1000;1127
Schwarzau im Gebirge;<31836>;339;286
Seebenstein;<31837>;696;796
Semmering;<31838>;268;337
Ternitz;<31839>;7092;7661
Thomasberg;<31840>;639;592
Trattenbach;<31841>;254;265
Warth;<31843>;787;768
Wartmannstetten;<31844>;816;794
Willendorf;<31845>;466;508
Wimpassing im Schwarzatale;<31846>;798;814
Würflach;<31847>;781;849
Zöbern;<31848>;704;677
Bad Erlach;<32306>;1521;1738
Bad Fischau-Brunn;<32301>;1731;1794
Bad Schönau;<32302>;373;380
Bromberg;<32325>;592;566
Ebenfurth;<32304>;1498;1636
Eggendorf;<32305>;2484;2562
Felixdorf;<32307>;2259;2318
Gutenstein;<32308>;603;665
Hochneukirchen-Gschaidt;<32309>;833;813
Hochwolkersdorf;<32310>;484;496
Hohe Wand;<32311>;750;726
Hollenthon;<32312>;486;516
Katzelsdorf;<32313>;1557;1639
Kirchschlag in der Buckligen Welt;<32314>;1383;1393
Krumbach;<32315>;1209;1181
Lanzenkirchen;<32316>;2141;2246
Lichtenegg;<32317>;498;556
Lichtenwörth;<32318>;1461;1501
Markt Piesting;<32319>;1549;1590
Matzendorf-Hölles;<32320>;1054;1083
Miesenbach;<32321>;321;326
Muggendorf;<32322>;242;264
Pernitz;<32323>;1235;1288
Rohr im Gebirge;<32324>;223;198
Schwarzenbach;<32326>;460;489
Sollenau;<32327>;2658;2797
Theresienfeld;<32330>;2079;2139
Waidmannsfeld;<32331>;719;764
Waldegg;<32332>;985;1023
Walpersbach;<32333>;608;627
Weikersdorf am Steinfelde;<32334>;559;553
Wiesmath;<32335>;758;783
Winzendorf-Muthmannsdorf;<32336>;942;927
Wöllersdorf-Steinabrückl;<32337>;2471;2535
Zillingdorf;<32338>;1030;1090
St. Pölten;<30201>;28953;29903
Altlengbach;<31901>;1541;1682
Asperhofen;<31902>;1169;1185
Böheimkirchen;<31903>;2561;2682
Brand-Laaben;<31904>;648;610
Eichgraben;<31905>;2390;2403
Frankenfels;<31906>;961;933
Gerersdorf;<31907>;549;545
Hafnerbach;<31910>;839;823
Haunoldstein;<31911>;619;637
Herzogenburg;<31912>;3862;4101
Hofstetten-Grünau;<31909>;1350;1362
Inzersdorf-Getzersdorf;<31913>;843;843
Kapelln;<31915>;660;682
Karlstetten;<31916>;1095;1131
Kasten bei Böheimkirchen;<31917>;725;715
