2020;;;
name_;code_;male_;female_
Deutschkreutz;<10801>;1482;1587
Draßmarkt;<10802>;678;702
Frankenau-Unterpullendorf;<10803>;538;555
Großwarasdorf;<10804>;675;693
Horitschon;<10805>;883;914
Kaisersdorf;<10806>;290;316
Kobersdorf;<10807>;952;926
Lackenbach;<10808>;560;587
Lackendorf;<10824>;297;296
Lockenhaus;<10809>;983;1036
Lutzmannsburg;<10810>;410;453
Mannersdorf an der Rabnitz;<10811>;908;873
Markt Sankt Martin;<10812>;601;638
Neckenmarkt;<10813>;843;845
Neutal;<10814>;527;568
Nikitsch;<10815>;663;717
Oberloisdorf;<10828>;389;405
Oberpullendorf;<10816>;1527;1677
Pilgersdorf;<10817>;838;791
Piringsdorf;<10818>;416;427
Raiding;<10819>;401;479
Ritzing;<10820>;464;443
Steinberg-Dörfl;<10821>;646;636
Stoob;<10822>;698;666
Unterfrauenhaid;<10825>;328;318
Unterrabnitz-Schwendgraben;<10826>;326;322
Weingraben;<10827>;165;189
Weppersdorf;<10823>;900;937
Eisenstadt;<10101>;7163;7653
Rust;<10201>;929;1051
Breitenbrunn;<10301>;931;940
Donnerskirchen;<10302>;893;950
Großhöflein;<10303>;1019;1085
Hornstein;<10304>;1490;1639
Klingenbach;<10305>;551;596
Leithaprodersdorf;<10306>;610;598
Loretto;<10320>;236;247
Mörbisch am See;<10307>;1096;1107
Müllendorf;<10308>;689;694
Neufeld an der Leitha;<10309>;1677;1809
Oggau am Neusiedler See;<10310>;882;871
Oslip;<10311>;628;627
Purbach am Neusiedler See;<10312>;1421;1464
Sankt Margarethen im Burgenland;<10313>;1338;1331
Schützen am Gebirge;<10314>;719;702
Siegendorf;<10315>;1489;1577
Steinbrunn;<10316>;1369;1407
Stotzing;<10321>;416;394
Trausdorf an der Wulka;<10317>;1009;1054
Wimpassing an der Leitha;<10318>;826;838
Wulkaprodersdorf;<10319>;988;992
Zagersdorf;<10323>;522;554
Zillingtal;<10322>;470;491
Antau;<10616>;382;392
Bad Sauerbrunn;<10611>;1033;1195
Baumgarten;<10617>;436;449
Draßburg;<10601>;604;623
Forchtenstein;<10602>;1382;1396
Hirm;<10603>;495;525
Krensdorf;<10619>;313;323
Loipersbach im Burgenland;<10604>;601;594
Marz;<10605>;1016;1058
Mattersburg;<10606>;3599;3857
Neudörfl;<10607>;2260;2381
Pöttelsdorf;<10608>;368;394
Pöttsching;<10609>;1471;1512
Rohrbach bei Mattersburg;<10610>;1286;1353
Schattendorf;<10612>;1152;1199
Sieggraben;<10613>;626;603
Sigleß;<10614>;569;592
Wiesen;<10615>;1364;1353
Zemendorf-Stöttera;<10618>;650;636
Andau;<10701>;1111;1169
Apetlon;<10702>;869;891
Bruckneudorf;<10703>;1476;1624
Deutsch Jahrndorf;<10704>;311;308
Edelstal;<10727>;392;388
Frauenkirchen;<10705>;1359;1497
Gattendorf;<10706>;686;695
Gols;<10707>;1925;1985
Halbturn;<10708>;935;995
Illmitz;<10709>;1181;1214
Jois;<10710>;813;831
Kittsee;<10711>;1606;1701
Mönchhof;<10712>;1106;1132
Neudorf;<10725>;357;360
Neusiedl am See;<10713>;4173;4412
Nickelsdorf;<10714>;894;903
Pama;<10715>;586;622
Pamhagen;<10716>;780;787
Parndorf;<10717>;2356;2502
Podersdorf am See;<10718>;1040;1092
Potzneusiedl;<10726>;311;300
Sankt Andrä am Zicksee;<10719>;669;700
Tadten;<10720>;569;617
Wallern im Burgenland;<10721>;820;858
Weiden am See;<10722>;1233;1247
Winden am See;<10723>;657;669
Zurndorf;<10724>;1162;1114
Bildein;<10426>;170;177
Bocksdorf;<10401>;392;415
Burgauberg-Neudauberg;<10402>;637;689
Eberau;<10403>;474;462
Gerersdorf-Sulz;<10404>;502;490
Großmürbisch;<10420>;117;120
Güssing;<10405>;1745;1922
Güttenbach;<10406>;419;461
Hackerberg;<10418>;195;173
Heiligenbrunn;<10407>;365;388
Heugraben;<10424>;127;105
Inzenhof;<10421>;160;155
Kleinmürbisch;<10422>;117;113
Kukmirn;<10408>;987;996
Moschendorf;<10428>;198;196
Neuberg im Burgenland;<10409>;466;502
Neustift bei Güssing;<10410>;234;230
Olbendorf;<10411>;692;741
Ollersdorf im Burgenland;<10412>;468;470
Rauchwart;<10427>;216;226
Rohr im Burgenland;<10425>;177;199
Sankt Michael im Burgenland;<10413>;478;499
Stegersbach;<10414>;1293;1368
Stinatz;<10415>;608;587
Strem;<10416>;419;452
Tobaj;<10417>;685;674
Tschanigraben;<10423>;32;33
Wörterberg;<10419>;236;247
Deutsch Kaltenbrunn;<10501>;847;887
Eltendorf;<10502>;488;432
Heiligenkreuz im Lafnitztal;<10503>;607;627
Jennersdorf;<10504>;2009;2102
Königsdorf;<10511>;374;367
Minihof-Liebau;<10505>;527;520
Mogersdorf;<10506>;581;568
Mühlgraben;<10512>;202;182
Neuhaus am Klausenbach;<10507>;432;466
Rudersdorf;<10508>;1040;1132
Sankt Martin an der Raab;<10509>;997;998
Weichselbaum;<10510>;363;349
Bad Tatzmannsdorf;<10901>;773;847
Badersdorf;<10931>;151;142
Bernstein;<10902>;994;1098
Deutsch Schützen-Eisenberg;<10903>;539;545
Grafenschachen;<10904>;630;626
Großpetersdorf;<10905>;1696;1851
Hannersdorf;<10906>;354;380
Jabing;<10930>;374;367
Kemeten;<10907>;755;761
Kohfidisch;<10908>;726;705
Litzelsdorf;<10909>;577;577
Loipersdorf-Kitzladen;<10910>;652;675
Mariasdorf;<10911>;573;593
Markt Allhau;<10912>;921;934
Markt Neuhodis;<10913>;331;330
Mischendorf;<10914>;776;761
Neustift an der Lafnitz;<10929>;385;427
Oberdorf im Burgenland;<10915>;492;510
Oberschützen;<10916>;1221;1223
Oberwart;<10917>;3577;4023
Pinkafeld;<10918>;2881;3043
Rechnitz;<10919>;1444;1518
Riedlingsdorf;<10920>;822;827
Rotenturm an der Pinka;<10921>;703;736
Schachendorf;<10922>;379;376
Schandorf;<10932>;131;131
Stadtschlaining;<10923>;970;1015
Unterkohlstätten;<10924>;498;500
Unterwart;<10925>;496;473
Weiden bei Rechnitz;<10926>;412;397
Wiesfleck;<10927>;585;572
Wolfau;<10928>;712;699
Waidhofen an der Ybbs;<30301>;5562;5660
Allhartsberg;<30501>;1081;1071
Amstetten;<30502>;11685;12131
Ardagger;<30503>;1804;1734
