2021;;;
name_;code_;male_;female_
Deutschkreutz;<10801>;1495;1619
Draßmarkt;<10802>;667;705
Frankenau-Unterpullendorf;<10803>;519;546
Großwarasdorf;<10804>;671;683
Horitschon;<10805>;894;925
Kaisersdorf;<10806>;291;319
Kobersdorf;<10807>;938;941
Lackenbach;<10808>;558;596
Lackendorf;<10824>;293;289
Lockenhaus;<10809>;982;1034
Lutzmannsburg;<10810>;400;442
Mannersdorf an der Rabnitz;<10811>;907;877
Markt Sankt Martin;<10812>;609;644
Neckenmarkt;<10813>;840;839
Neutal;<10814>;538;553
Nikitsch;<10815>;688;714
Oberloisdorf;<10828>;390;402
Oberpullendorf;<10816>;1554;1711
Pilgersdorf;<10817>;826;795
Piringsdorf;<10818>;423;434
Raiding;<10819>;404;499
Ritzing;<10820>;458;441
Steinberg-Dörfl;<10821>;647;632
Stoob;<10822>;702;668
Unterfrauenhaid;<10825>;329;315
Unterrabnitz-Schwendgraben;<10826>;327;312
Weingraben;<10827>;168;187
Weppersdorf;<10823>;888;925
Eisenstadt;<10101>;7224;7671
Rust;<10201>;953;1047
Breitenbrunn;<10301>;936;947
Donnerskirchen;<10302>;907;934
Großhöflein;<10303>;1035;1087
Hornstein;<10304>;1520;1656
Klingenbach;<10305>;614;609
Leithaprodersdorf;<10306>;615;602
Loretto;<10320>;234;242
Mörbisch am See;<10307>;1110;1118
Müllendorf;<10308>;690;694
Neufeld an der Leitha;<10309>;1723;1864
Oggau am Neusiedler See;<10310>;879;859
Oslip;<10311>;639;632
Purbach am Neusiedler See;<10312>;1430;1469
Sankt Margarethen im Burgenland;<10313>;1337;1346
Schützen am Gebirge;<10314>;722;695
Siegendorf;<10315>;1523;1595
Steinbrunn;<10316>;1457;1475
Stotzing;<10321>;422;401
Trausdorf an der Wulka;<10317>;1023;1044
Wimpassing an der Leitha;<10318>;857;845
Wulkaprodersdorf;<10319>;989;993
Zagersdorf;<10323>;524;577
Zillingtal;<10322>;483;508
Antau;<10616>;380;388
Bad Sauerbrunn;<10611>;1067;1195
Baumgarten;<10617>;433;452
Draßburg;<10601>;608;618
Forchtenstein;<10602>;1390;1410
Hirm;<10603>;487;525
