2023;;;
name_;code_;male_;female_
Deutschkreutz;<10801>;1530;1650
Draßmarkt;<10802>;658;713
Frankenau-Unterpullendorf;<10803>;522;568
Großwarasdorf;<10804>;676;688
Horitschon;<10805>;887;934
Kaisersdorf;<10806>;293;306
Kobersdorf;<10807>;944;949
Lackenbach;<10808>;561;599
Lackendorf;<10824>;303;303
Lockenhaus;<10809>;1016;1052
Lutzmannsburg;<10810>;401;424
Mannersdorf an der Rabnitz;<10811>;887;874
Markt Sankt Martin;<10812>;616;643
Neckenmarkt;<10813>;833;827
Neutal;<10814>;551;579
Nikitsch;<10815>;705;722
Oberloisdorf;<10828>;401;405
Oberpullendorf;<10816>;1593;1693
Pilgersdorf;<10817>;811;784
Piringsdorf;<10818>;420;412
Raiding;<10819>;407;488
Ritzing;<10820>;469;453
Steinberg-Dörfl;<10821>;648;651
Stoob;<10822>;690;660
Unterfrauenhaid;<10825>;336;316
Unterrabnitz-Schwendgraben;<10826>;324;316
Weingraben;<10827>;159;199
Weppersdorf;<10823>;920;974
Eisenstadt;<10101>;7600;8129
Rust;<10201>;935;1029
Breitenbrunn;<10301>;947;985
Donnerskirchen;<10302>;916;928
Großhöflein;<10303>;1025;1066
Hornstein;<10304>;1560;1710
Klingenbach;<10305>;664;616
Leithaprodersdorf;<10306>;606;611
Loretto;<10320>;258;258
Mörbisch am See;<10307>;1095;1123
Müllendorf;<10308>;735;734
Neufeld an der Leitha;<10309>;1750;1892
Oggau am Neusiedler See;<10310>;857;853
Oslip;<10311>;656;656
Purbach am Neusiedler See;<10312>;1473;1511
Sankt Margarethen im Burgenland;<10313>;1357;1377
Schützen am Gebirge;<10314>;723;719
Siegendorf;<10315>;1577;1671
Steinbrunn;<10316>;1533;1536
Stotzing;<10321>;430;402
Trausdorf an der Wulka;<10317>;1060;1079
Wimpassing an der Leitha;<10318>;859;875
Wulkaprodersdorf;<10319>;965;987
Zagersdorf;<10323>;544;603
Zillingtal;<10322>;493;512
Antau;<10616>;396;410
Bad Sauerbrunn;<10611>;1098;1213
Baumgarten;<10617>;438;481
Draßburg;<10601>;594;636
Forchtenstein;<10602>;1381;1396
Hirm;<10603>;502;559
Krensdorf;<10619>;313;327
Loipersbach im Burgenland;<10604>;603;602
Marz;<10605>;1018;1062
Mattersburg;<10606>;3616;3898
Neudörfl;<10607>;2395;2526
Pöttelsdorf;<10608>;361;393
Pöttsching;<10609>;1512;1584
Rohrbach bei Mattersburg;<10610>;1281;1360
Schattendorf;<10612>;1172;1234
Sieggraben;<10613>;650;605
Sigleß;<10614>;571;611
Wiesen;<10615>;1385;1385
Zemendorf-Stöttera;<10618>;651;632
Andau;<10701>;1111;1189
Apetlon;<10702>;858;896
Bruckneudorf;<10703>;1481;1604
Deutsch Jahrndorf;<10704>;319;326
Edelstal;<10727>;402;402
Frauenkirchen;<10705>;1405;1527
Gattendorf;<10706>;727;742
Gols;<10707>;1957;2054
Halbturn;<10708>;927;987
Illmitz;<10709>;1169;1196
Jois;<10710>;799;832
Kittsee;<10711>;1780;1850
Mönchhof;<10712>;1072;1117
Neudorf;<10725>;384;403
Neusiedl am See;<10713>;4300;4617
Nickelsdorf;<10714>;911;944
Pama;<10715>;628;654
Pamhagen;<10716>;751;767
Parndorf;<10717>;2613;2713
Podersdorf am See;<10718>;1074;1119
Potzneusiedl;<10726>;321;331
Sankt Andrä am Zicksee;<10719>;673;713
Tadten;<10720>;578;613
Wallern im Burgenland;<10721>;802;843
Weiden am See;<10722>;1273;1341
Winden am See;<10723>;684;710
Zurndorf;<10724>;1149;1130
Bildein;<10426>;162;176
Bocksdorf;<10401>;389;422
Burgauberg-Neudauberg;<10402>;690;779
Eberau;<10403>;454;463
Gerersdorf-Sulz;<10404>;519;514
Großmürbisch;<10420>;109;117
Güssing;<10405>;1744;1866
Güttenbach;<10406>;425;447
Hackerberg;<10418>;193;180
Heiligenbrunn;<10407>;364;377
Heugraben;<10424>;116;106
Inzenhof;<10421>;163;168
Kleinmürbisch;<10422>;118;112
Kukmirn;<10408>;1005;999
Moschendorf;<10428>;184;195
Neuberg im Burgenland;<10409>;452;508
Neustift bei Güssing;<10410>;229;217
Olbendorf;<10411>;721;769
Ollersdorf im Burgenland;<10412>;465;479
Rauchwart;<10427>;220;244
Rohr im Burgenland;<10425>;171;194
Sankt Michael im Burgenland;<10413>;499;511
Stegersbach;<10414>;1345;1399
Stinatz;<10415>;644;631
Strem;<10416>;428;493
Tobaj;<10417>;705;683
Tschanigraben;<10423>;32;36
Wörterberg;<10419>;252;282
Deutsch Kaltenbrunn;<10501>;866;877
Eltendorf;<10502>;486;436
Heiligenkreuz im Lafnitztal;<10503>;635;648
Jennersdorf;<10504>;2039;2104
Königsdorf;<10511>;396;374
Minihof-Liebau;<10505>;526;515
Mogersdorf;<10506>;587;584
Mühlgraben;<10512>;205;180
Neuhaus am Klausenbach;<10507>;450;481
Rudersdorf;<10508>;1076;1132
Sankt Martin an der Raab;<10509>;994;968
Weichselbaum;<10510>;362;352
Bad Tatzmannsdorf;<10901>;786;861
Badersdorf;<10931>;145;143
Bernstein;<10902>;1028;1113
Deutsch Schützen-Eisenberg;<10903>;522;549
Grafenschachen;<10904>;610;611
Großpetersdorf;<10905>;1715;1897
Hannersdorf;<10906>;358;386
Jabing;<10930>;372;360
Kemeten;<10907>;768;781
Kohfidisch;<10908>;739;698
Litzelsdorf;<10909>;582;569
Loipersdorf-Kitzladen;<10910>;682;684
Mariasdorf;<10911>;573;582
Markt Allhau;<10912>;957;950
Markt Neuhodis;<10913>;340;331
Mischendorf;<10914>;751;733
Neustift an der Lafnitz;<10929>;381;429
Oberdorf im Burgenland;<10915>;486;514
Oberschützen;<10916>;1207;1264
Oberwart;<10917>;3727;4271
Pinkafeld;<10918>;2876;3063
Rechnitz;<10919>;1469;1528
Riedlingsdorf;<10920>;829;827
Rotenturm an der Pinka;<10921>;710;745
Schachendorf;<10922>;363;387
Schandorf;<10932>;141;138
Stadtschlaining;<10923>;966;999
Unterkohlstätten;<10924>;493;484
Unterwart;<10925>;486;487
Weiden bei Rechnitz;<10926>;418;403
Wiesfleck;<10927>;603;584
Wolfau;<10928>;746;770
Waidhofen an der Ybbs;<30301>;5524;5602
Allhartsberg;<30501>;1114;1120
Amstetten;<30502>;11783;12119
Ardagger;<30503>;1830;1760
Aschbach-Markt;<30504>;1885;1925
Behamberg;<30506>;1782;1697
Biberbach;<30507>;1173;1154
Ennsdorf;<30508>;1618;1620
Ernsthofen;<30509>;1133;1180
Ertl;<30510>;654;595
Euratsfeld;<30511>;1392;1359
Ferschnitz;<30512>;950;906
Haag;<30514>;2849;2904
Haidershofen;<30515>;1899;1827
Hollenstein an der Ybbs;<30516>;845;847
Kematen an der Ybbs;<30517>;1326;1429
Neuhofen an der Ybbs;<30520>;1570;1495
Neustadtl an der Donau;<30521>;1081;1096
Oed-Oehling;<30522>;1052;1034
Opponitz;<30524>;452;438
St. Georgen am Reith;<30526>;283;251
St. Georgen am Ybbsfelde;<30527>;1456;1407
St. Pantaleon-Erla;<30529>;1370;1322
St. Peter in der Au;<30530>;2540;2601
St. Valentin;<30531>;4745;4629
Seitenstetten;<30532>;1734;1691
Sonntagberg;<30533>;1838;1875
Strengberg;<30534>;1078;1072
Viehdorf;<30536>;695;675
Wallsee-Sindelburg;<30538>;1068;1120
Weistrach;<30539>;1156;1192
Winklarn;<30541>;934;914
Wolfsbach;<30542>;1128;1055
Ybbsitz;<30543>;1705;1639
Zeillern;<30544>;986;920
Artstetten-Pöbring;<31502>;639;621
Bergland;<31503>;975;940
Bischofstetten;<31504>;595;633
Blindenmarkt;<31505>;1392;1388
Dorfstetten;<31506>;277;289
Dunkelsteinerwald;<31507>;1227;1175
Emmersdorf an der Donau;<31553>;882;899
Erlauf;<31508>;573;552
Golling an der Erlauf;<31509>;750;720
Hofamt Priel;<31511>;838;880
Hürm;<31513>;991;989
Kilb;<31514>;1290;1296
Kirnberg an der Mank;<31515>;568;546
Klein-Pöchlarn;<31516>;520;567
Krummnußbaum;<31517>;799;831
Leiben;<31519>;681;660
Loosdorf;<31520>;1913;1989
Mank;<31521>;1645;1690
Marbach an der Donau;<31522>;849;839
Maria Taferl;<31523>;502;458
Melk;<31524>;2710;2884
Münichreith-Laimbach;<31525>;826;832
Neumarkt an der Ybbs;<31527>;1002;1073
Nöchling;<31528>;538;491
Persenbeug-Gottsdorf;<31530>;1061;1094
Petzenkirchen;<31531>;786;769
Pöchlarn;<31533>;1953;2047
Pöggstall;<31534>;1198;1204
Raxendorf;<31535>;524;509
Ruprechtshofen;<31537>;1153;1143
St. Leonhard am Forst;<31539>;1554;1492
St. Martin-Karlsbach;<31540>;814;818
St. Oswald;<31541>;600;529
Schollach;<31543>;533;525
Schönbühel-Aggsbach;<31542>;449;483
Texingtal;<31551>;864;830
Weiten;<31546>;544;548
Ybbs an der Donau;<31549>;2846;2807
Yspertal;<31552>;1009;1021
Zelking-Matzleinsdorf;<31550>;590;655
Gaming;<32001>;1444;1489
Göstling an der Ybbs;<32002>;1012;1004
Gresten;<32003>;985;1006
Gresten-Land;<32004>;768;712
Lunz am See;<32005>;866;892
Oberndorf an der Melk;<32006>;1517;1482
Puchenstuben;<32007>;158;119
Purgstall an der Erlauf;<32008>;2707;2659
Randegg;<32009>;944;924
Reinsberg;<32010>;554;519
St. Anton an der Jeßnitz;<32011>;586;560
St. Georgen an der Leys;<32012>;672;659
Scheibbs;<32013>;2016;2221
Steinakirchen am Forst;<32014>;1161;1164
Wang;<32015>;686;684
Wieselburg;<32016>;2249;2423
Wieselburg-Land;<32017>;1686;1746
Wolfpassing;<32018>;870;862
Wiener Neustadt;<30401>;23338;24540
Altenmarkt an der Triesting;<30602>;1081;1130
Berndorf;<30605>;4395;4561
Enzesfeld-Lindabrunn;<30608>;2029;2197
Furth an der Triesting;<30609>;451;444
Hernstein;<30614>;780;781
Hirtenberg;<30615>;1445;1162
